Time,Open,High,Low,Close,Volume
2023-01-19T20:55:00+01:00,1550.36,1553.69,1549.33,1550.45,2465.53
2023-01-19T21:00:00+01:00,1550.45,1557.13,1550.45,1555.9,7096.74
2023-01-19T21:05:00+01:00,1555.9,1556.1,1553.5,1554.67,6316.81
2023-01-19T21:10:00+01:00,1554.67,1554.91,1552.64,1553.99,2469.26
2023-01-19T21:15:00+01:00,1553.99,1556.49,1553.99,1556.49,5341.91
2023-01-19T21:20:00+01:00,1556.49,1560,1553.85,1556.67,10707.29
2023-01-19T21:25:00+01:00,1556.67,1563.6,1555.73,1556.75,15227.84
2023-01-19T21:30:00+01:00,1556.75,1557.8,1554.04,1556.49,7652.19
2023-01-19T21:35:00+01:00,1556.49,1557.98,1555.33,1555.35,1861.69
2023-01-19T21:40:00+01:00,1555.35,1555.99,1552.67,1554.47,4607.76
2023-01-19T21:45:00+01:00,1554.47,1556.97,1554.46,1556.27,1295.83
2023-01-19T21:50:00+01:00,1556.27,1557.09,1555.65,1557.04,1470.58
2023-01-19T21:55:00+01:00,1557.04,1557.54,1556.12,1556.43,1120.82
2023-01-19T22:00:00+01:00,1556.43,1559.74,1555,1555.2,4062.58
2023-01-19T22:05:00+01:00,1555.2,1555.45,1554.14,1555.26,2022.63
2023-01-19T22:10:00+01:00,1555.26,1555.26,1549.4,1550.99,7080.41
2023-01-19T22:15:00+01:00,1550.99,1552.68,1549.94,1551.49,2807.16
2023-01-19T22:20:00+01:00,1551.49,1552.55,1550.96,1552.09,1316.85
2023-01-19T22:25:00+01:00,1552.09,1554.27,1551.97,1553.99,915.19
2023-01-19T22:30:00+01:00,1553.99,1554.45,1552.74,1554.26,1308.49
2023-01-19T22:35:00+01:00,1554.26,1554.82,1552.65,1553.44,1211.37
2023-01-19T22:40:00+01:00,1553.44,1553.44,1546.92,1548.23,3609.14
2023-01-19T22:45:00+01:00,1548.23,1549.1,1545.37,1545.63,3744.74
2023-01-19T22:50:00+01:00,1545.63,1547.58,1545.6,1546.1,2385.94
2023-01-19T22:55:00+01:00,1546.1,1546.11,1543.43,1544.29,4296.3
2023-01-19T23:00:00+01:00,1544.29,1548.46,1543.6,1546.99,3794.41
2023-01-19T23:05:00+01:00,1546.99,1550.72,1546.99,1548.96,3133.67
2023-01-19T23:10:00+01:00,1548.96,1550.55,1548.6,1550.05,877.15
2023-01-19T23:15:00+01:00,1550.05,1550.77,1548.14,1550.7,923.23
2023-01-19T23:20:00+01:00,1550.7,1551.44,1548.71,1549.12,1105.23
2023-01-19T23:25:00+01:00,1549.12,1549.23,1546.8,1548.05,1047.32
2023-01-19T23:30:00+01:00,1548.05,1548.8,1545,1546.81,1428.21
2023-01-19T23:35:00+01:00,1546.81,1549.9,1546.51,1549.81,1292.76
2023-01-19T23:40:00+01:00,1549.81,1551.74,1549.81,1550.6,2337.77
2023-01-19T23:45:00+01:00,1550.6,1550.61,1548.21,1548.54,814.55
2023-01-19T23:50:00+01:00,1548.54,1549.46,1548.5,1548.8,806.14
2023-01-19T23:55:00+01:00,1548.8,1551.21,1548.8,1550.7,664.35
2023-01-20T00:00:00+01:00,1550.7,1551.13,1549.22,1549.61,964.22
2023-01-20T00:05:00+01:00,1549.61,1549.67,1546.89,1548.14,870.58
2023-01-20T00:10:00+01:00,1548.14,1549.77,1546.87,1547.55,783.22
2023-01-20T00:15:00+01:00,1547.55,1549.01,1546.47,1546.65,967.91
2023-01-20T00:20:00+01:00,1546.65,1548.75,1545.38,1548.63,1751.4
2023-01-20T00:25:00+01:00,1548.63,1550.45,1548.02,1550.01,1539.53
2023-01-20T00:30:00+01:00,1550.01,1551.25,1548.99,1551.06,1285.61
2023-01-20T00:35:00+01:00,1551.06,1551.06,1548.7,1548.77,600.43
2023-01-20T00:40:00+01:00,1548.77,1550.28,1547.7,1550.28,292.99
2023-01-20T00:45:00+01:00,1550.28,1550.28,1548.37,1548.48,242.16
